,equity,return,drawdown
2021-01-04,100000.0,0.0,0.0
2021-01-05,100000.0,0.0,0.0
2021-01-06,100000.0,0.0,0.0
2021-01-07,100000.0,0.0,0.0
2021-01-08,100000.0,0.0,0.0
2021-01-11,100000.0,0.0,0.0
2021-01-12,100000.0,0.0,0.0
2021-01-13,100000.0,0.0,0.0
2021-01-14,100000.0,0.0,0.0
2021-01-15,100000.0,0.0,0.0
2021-01-18,100000.0,0.0,0.0
2021-01-19,100000.0,0.0,0.0
2021-01-20,100000.0,0.0,0.0
2021-01-21,100000.0,0.0,0.0
2021-01-22,100000.0,0.0,0.0
2021-01-25,99933.84559058699,-0.0006615440941301065,-0.0006615440941301065
2021-01-26,98639.33518335327,-0.012953673498537488,-0.013606648166467394
2021-01-27,96865.72505870584,-0.017980759109442523,-0.031342749412941684
2021-01-28,94670.97131796816,-0.0226576917625666,-0.053290286820318444
2021-01-29,95206.48352914503,0.005656561918840675,-0.04793516470854975
2021-02-01,94700.17848789538,-0.005317968088745295,-0.05299821512104619
2021-02-02,95790.33548381968,0.011511667806028969,-0.042096645161803226
2021-02-03,96539.67301451453,0.007822684062124496,-0.034603269854854735
2021-02-04,96664.91183164963,0.001297278240379729,-0.03335088168350364
2021-02-05,97053.62448462412,0.004021238375011116,-0.029463755153758875
2021-02-08,95762.51021420599,-0.013303102045639448,-0.04237489785794013
2021-02-09,96709.04955358528,0.009884236923844547,-0.0329095044641472
2021-02-17,97918.69432857842,0.012508082548395638,-0.02081305671421574
2021-02-18,98370.16400438207,0.004610658658179112,-0.016298359956179342
2021-02-19,98329.71050224465,-0.00041123751847782497,-0.016702894977553506
2021-02-22,98399.10432756049,0.0007057259190674792,-0.016008956724395063
2021-02-23,98406.13808406038,7.148191589712027e-05,-0.015938619159396206
2021-02-24,97745.80043536288,-0.006710329879356047,-0.02254199564637116
2021-02-25,98115.51035984169,0.00378236121482578,-0.018844896401583155
2021-02-26,98355.10818250335,0.002441997414913466,-0.01644891817496652
2021-03-01,99283.82577190278,0.009442494716961125,-0.0071617422809722164
2021-03-02,99450.22043941084,0.00167594939270721,-0.005497795605891587
2021-03-03,99485.00220177992,0.0003497404250629721,-0.0051499779822008485
2021-03-04,98396.71080010747,-0.010939250918094445,-0.016032891998925325
2021-03-05,98491.26725205933,0.0009609716745915264,-0.015087327479406665
2021-03-08,98430.36073238986,-0.0006183951264795429,-0.015696392676101345
2021-03-09,97838.24706064636,-0.006015559298348294,-0.02161752939353634
2021-03-10,98296.21965595383,0.004680915787704132,-0.017037803440461685
2021-03-11,99126.05553127146,0.008442195215870196,-0.00873944468728538
2021-03-12,99119.24579748386,-6.869771778061917e-05,-0.00880754202516143
2021-03-15,99242.72123285713,0.0012457261390543817,-0.00757278767142866
2021-03-16,99287.19699226685,0.0004481513491085831,-0.0071280300773315375
2021-03-17,99938.02814897626,0.006555036061296926,-0.0006197185102374547
2021-03-18,100860.9207955014,0.009234649348388135,0.0
2021-03-19,100228.28149488599,-0.006272392673254523,-0.006272392673254523
2021-03-22,99789.04127031936,-0.004382398041904434,-0.010627302593789634
2021-03-23,98921.314898658,-0.008695607860494059,-0.019230499598313244
2021-03-24,96793.45179182137,-0.021510663389549323,-0.040327502184190345
2021-03-25,96536.82746469759,-0.002651257108546079,-0.042871840715900666
2021-03-26,96594.55812297708,0.0005980169412611591,-0.04229946186169076
2021-03-29,97859.5411770727,0.01309580041232894,-0.029757606759451383
2021-03-30,99348.4456490277,0.015214709307300955,-0.014995650788676596
2021-03-31,100508.56043762517,0.01167723139520338,-0.003493527077654268
