,equity,return,drawdown
2021-01-04,100000.0,0.0,0.0
2021-01-05,100000.0,0.0,0.0
2021-01-06,100000.0,0.0,0.0
2021-01-07,100000.0,0.0,0.0
2021-01-08,100000.0,0.0,0.0
2021-01-11,100000.0,0.0,0.0
2021-01-12,100000.0,0.0,0.0
2021-01-13,100000.0,0.0,0.0
2021-01-14,100000.0,0.0,0.0
2021-01-15,100000.0,0.0,0.0
2021-01-18,100000.0,0.0,0.0
2021-01-19,100000.0,0.0,0.0
2021-01-20,100000.0,0.0,0.0
2021-01-21,100000.0,0.0,0.0
2021-01-22,100000.0,0.0,0.0
2021-01-25,100035.81950657492,0.00035819506574918947,0.0
2021-01-26,98040.54947122384,-0.019945555953784444,-0.019945555953784444
2021-01-27,96235.9518086929,-0.018406645742643613,-0.03798507091384673
2021-01-28,94182.4963820775,-0.021337716186331845,-0.058512272437701185
2021-01-29,94372.42840424197,0.002016638223242273,-0.0566136322995856
2021-02-01,93626.78743986787,-0.00790104670381242,-0.06406737205052648
2021-02-02,94743.0228978609,0.011922180483976641,-0.0529090143392702
2021-02-03,96054.8265499577,0.013845912996791387,-0.03979567495176628
2021-02-04,95970.73138189754,-0.0008754913321967761,-0.04063632551548402
2021-02-05,97084.61103737821,0.0116064516696055,-0.029501517394004417
2021-02-08,93668.05485155105,-0.03519153189491353,-0.06365484569859847
2021-02-09,95056.8328752694,0.014826591903924546,-0.04977203821455434
2021-02-17,97998.35410227742,0.03094486885406522,-0.020367358555638093
2021-02-18,99114.9340819511,0.011393864620505179,-0.009205556861193065
2021-02-19,99224.76457187695,0.0011081124246627994,-0.008107645228463967
2021-02-22,99177.66625145855,-0.00047466295961107186,-0.00857845978919547
2021-02-23,99707.88267391225,0.005346127233013975,-0.0032781940936778
2021-02-24,98306.4169637082,-0.01405571628461355,-0.017287833012184728
2021-02-25,98835.01195960918,0.005377014158659987,-0.01200377577640388
2021-02-26,98974.24704675155,0.0014087627894381338,-0.01061192345961226
2021-03-01,100911.70759473246,0.019575400730916792,0.0
2021-03-02,101290.1785002532,0.00375051532217352,0.0
2021-03-03,101342.85102059995,0.0005200160679608157,0.0
2021-03-04,99383.41435822306,-0.019334730004572198,-0.019334730004572198
2021-03-05,99354.46427830782,-0.0002912968939756677,-0.019620394751751702
2021-03-08,99172.90816308287,-0.001827357397010121,-0.021411898675279928
2021-03-09,98338.80073303166,-0.008410638000849846,-0.029642448947461042
2021-03-10,98896.18117845188,0.005667960573704667,-0.02414250060569867
2021-03-11,100210.62450569353,0.01329114341503046,-0.011172238628615938
2021-03-12,100332.65015450427,0.0012176917309183466,-0.0099681512402916
2021-03-15,100375.03108069372,0.00042240413389049714,-0.009549957694692246
2021-03-16,100453.96234413394,0.000786363526769529,-0.008771103906336064
2021-03-17,101413.92543821818,0.0095562491681076,0.0
2021-03-18,102587.9160779313,0.01157622717629958,0.0
2021-03-19,101795.42638563599,-0.007724980900219114,-0.007724980900219114
2021-03-22,101401.2504171234,-0.003872236528773998,-0.01156730447576726
2021-03-23,100288.69365514297,-0.010971824877936243,-0.02241221491468559
2021-03-24,98017.49368776876,-0.022646620317780308,-0.04455127431081263
2021-03-25,97908.32626921509,-0.0011137544375641184,-0.04561540956891397
2021-03-26,98088.97926342904,0.001845123914356428,-0.04385445173761626
2021-03-29,99220.04859681189,0.011531054170165644,-0.03282908562603992
2021-03-30,100671.33382116293,0.014626935230080962,-0.018682339305073903
2021-03-31,101650.98895328928,0.009731222334519396,-0.009132918968061232
2021-04-01,103615.4497736059,0.019325545580469727,0.0
