symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,reasons
BID,GOLDEN_CROSS,2025-01-02,2025-01-03,37.78,37.0,39.0,2025-03-04,40.0,TSL,5.88,37,Golden Cross: MA20 (38) cắt lên MA50 (38) | Volume xác nhận cross
BID,RETEST,2025-03-05,2025-03-06,40.2,39.0,42.0,2025-03-24,39.0,SL,-2.99,12,Retest vùng breakout 41 (cách -1.5%) | Volume cạn 0.77× TB20 | Giá vẫn giữ trên vùng breakout
BID,NR7,2025-03-28,2025-03-31,38.57,38.0,39.0,2025-04-03,37.0,SL,-5.13,3,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 1.3% — SL hẹp, risk thấp"
BID,NR7,2025-04-10,2025-04-11,36.49,35.0,39.0,2025-04-17,35.0,SL,-4.6,4,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 3.3% — SL hẹp, risk thấp"
BID,MACD_CROSSOVER,2025-04-18,2025-04-21,35.55,34.0,38.0,2025-04-22,34.0,SL,-4.36,1,MACD crossover bullish (hist=0.03)
BID,MACD_CROSSOVER,2025-04-22,2025-04-23,35.36,34.0,37.0,2025-04-29,34.0,SL,-3.85,4,MACD crossover bullish (hist=0.01)
BID,NR7,2025-04-29,2025-05-05,34.37,33.0,36.0,2025-05-26,35.0,TSL,1.83,15,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 2.9% — SL hẹp, risk thấp"
BID,DOUBLE_BOTTOM,2025-05-26,2025-05-27,35.6,34.0,38.0,2025-07-29,37.0,TSL,3.93,45,Hai đáy 32 và 34 (chênh 4.7%) | Vượt neckline 35 | Chưa quá xa neckline — vào hàng còn hợp lý
BID,BREAKOUT_RETEST_ENTRY,2025-07-30,2025-07-31,38.08,37.0,40.0,2025-08-01,37.0,SL,-2.84,1,Breakout 7 bars trước tại level 38 | Retest thành công (cách -1.4%) | Nến đóng xanh — support giữ vững
BID,DOUBLE_BOTTOM,2025-08-01,2025-08-04,36.79,35.0,39.0,2025-09-22,41.0,REVERSAL_MA20_BREAK,10.22,33,Hai đáy 35 và 36 (chênh 1.5%) | Vượt neckline 36 | Chưa quá xa neckline — vào hàng còn hợp lý
BID,NR7,2025-09-23,2025-09-24,40.4,39.0,42.0,2025-10-20,39.0,SL,-3.59,18,"NR7: range 0 nhỏ nhất 7 phiên — sắp bung | ATR 2.9% — SL hẹp, risk thấp"
BID,HAMMER,2025-10-22,2025-10-23,37.0,36.0,38.0,2026-02-10,48.0,TSL,29.73,76,Bóng dưới 1 > 2× thân 0 | Đóng cửa gần đỉnh nến — lực mua hấp thu | Gần support 37 | RSI 34.9 — vùng oversold
CTG,SPRING,2025-01-02,2025-01-03,25.93,25.0,27.0,2025-01-13,25.0,SL,-3.59,6,HH: đỉnh 27 > 27 | HL: đáy 25 > 24 | Volume phiên tăng > giảm
CTG,DOUBLE_BOTTOM,2025-01-13,2025-01-14,25.69,25.0,27.0,2025-01-16,25.0,SL,-2.69,2,Hai đáy 24 và 24 (chênh 1.5%) | Vượt neckline 25 | Chưa quá xa neckline — vào hàng còn hợp lý
