symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,confluence_score,reasons
VCB,MACD_CROSSOVER,2020-01-17,2020-01-20,40.82,40.0,42.0,2020-01-30,40.0,SL,-2.55,3,70.9,MACD crossover bullish (hist=0.12) | Cross xảy ra trên zero line — signal mạnh hơn | money_flow=BREAKOUT_FLOW | mf_score=6 | pipeline_conf=70.9 | pipeline_quality=STRONG | setup_score=71 | pipeline_money=100
VCB,BB_SQUEEZE,2020-04-22,2020-04-23,30.68,29.0,33.0,2020-04-27,29.0,SL,-5.48,2,63.2,BB squeeze: width 0.213 ≈ min 20 phiên (0.213) | Giá trên BB mid — bias bullish | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=63.2 | pipeline_quality=MEDIUM | setup_score=83 | pipeline_money=50
VCB,BB_SQUEEZE,2020-05-07,2020-05-08,30.24,29.0,32.0,2020-06-29,35.0,REVERSAL_MA20_BREAK,16.4,36,63.2,BB squeeze: width 0.099 ≈ min 20 phiên (0.099) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=63.2 | pipeline_quality=MEDIUM | setup_score=83 | pipeline_money=50
VCB,RETEST,2020-08-10,2020-08-11,35.64,34.0,38.0,2020-10-22,37.0,TSL,3.82,51,62.0,Retest vùng breakout 36 (cách -1.9%) | Volume cạn 0.70× TB20 | Giá vẫn giữ trên vùng breakout | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=62.0 | pipeline_quality=MEDIUM | setup_score=80 | pipeline_money=50
VCB,TREND_PULLBACK,2020-10-22,2020-10-23,37.54,37.0,38.0,2020-10-27,37.0,SL,-1.44,2,62.8,Uptrend: 37 > MA20(37) > MA60(36) | Breakout vùng 37 → recent high 38 | Pullback về vùng breakout (cách +0.6%) | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=62.8 | pipeline_quality=MEDIUM | setup_score=82 | pipeline_money=50
VCB,BREAKOUT_RETEST_ENTRY,2020-11-23,2020-11-24,39.74,39.0,41.0,2021-01-19,42.0,TSL,5.69,39,55.6,Breakout 3 bars trước tại level 38 | Retest thành công (cách +4.6%) | Volume cạn 0.75× TB20 | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=55.6 | pipeline_quality=MEDIUM | setup_score=64 | pipeline_money=50
VCB,BB_SQUEEZE,2021-03-22,2021-03-23,42.2,40.0,46.0,2021-04-16,42.0,TSL,-0.47,18,73.7,BB squeeze: width 0.065 ≈ min 20 phiên (0.065) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung | money_flow=EARLY_MONEY_IN | mf_score=3 | pipeline_conf=73.7 | pipeline_quality=STRONG | setup_score=86 | pipeline_money=87
VCB,BREAKOUT_RETEST_ENTRY,2021-04-23,2021-04-26,45.29,43.0,49.0,2021-04-26,43.0,SL,-5.06,0,58.0,Breakout 3 bars trước tại level 44 | Retest thành công (cách +2.0%) | Nến đóng xanh — support giữ vững | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=58.0 | pipeline_quality=MEDIUM | setup_score=70 | pipeline_money=50
VCB,MA_PULLBACK,2021-05-25,2021-05-26,43.51,42.0,46.0,2021-07-12,46.0,TSL,5.72,33,73.2,UPTREND (giá > MA20 > MA60 > MA200) | Pullback về MA60 (cách 2.1%) | RSI 54.9 trung tính | Volume giảm — áp lực bán cạn | money_flow=EARLY_MONEY_IN | mf_score=3 | pipeline_conf=73.2 | pipeline_quality=STRONG | setup_score=85 | pipeline_money=87
VCB,BB_SQUEEZE,2021-08-10,2021-08-11,43.23,42.0,45.0,2021-08-24,42.0,SL,-2.85,9,63.2,BB squeeze: width 0.080 ≈ min 20 phiên (0.080) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=63.2 | pipeline_quality=MEDIUM | setup_score=83 | pipeline_money=50
VCB,RETEST,2021-11-02,2021-11-03,42.53,41.0,45.0,2021-12-06,42.0,TSL,-1.25,23,62.0,Retest vùng breakout 42 (cách +0.4%) | Volume cạn 0.77× TB20 | Giá vẫn giữ trên vùng breakout | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=62.0 | pipeline_quality=MEDIUM | setup_score=80 | pipeline_money=50
VCB,SPRING,2021-12-30,2021-12-31,44.42,43.0,47.0,2022-02-25,48.0,REVERSAL_MA20_BREAK,7.72,34,63.2,HH: đỉnh 46 > 44 | HL: đáy 43 > 42 | Volume phiên tăng > giảm | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=63.2 | pipeline_quality=MEDIUM | setup_score=83 | pipeline_money=50
VCB,BB_SQUEEZE,2022-04-06,2022-04-07,47.74,46.0,50.0,2022-04-12,46.0,SL,-3.64,2,71.7,BB squeeze: width 0.053 ≈ min 20 phiên (0.051) | Giá trên BB mid — bias bullish | Volume bắt đầu tăng — tín hiệu sắp bung | money_flow=EARLY_MONEY_IN | mf_score=3 | pipeline_conf=71.7 | pipeline_quality=STRONG | setup_score=81 | pipeline_money=87
VCB,SPRING,2022-06-09,2022-06-10,43.75,42.0,46.0,2022-06-13,42.0,SL,-4.0,1,63.2,HH: đỉnh 46 > 45 | HL: đáy 42 > 41 | Volume phiên tăng > giảm | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=63.2 | pipeline_quality=MEDIUM | setup_score=83 | pipeline_money=50
VCB,SPRING,2022-10-25,2022-10-26,39.7,38.0,42.0,2023-02-09,52.0,REVERSAL_DOUBLE_TOP,31.74,71,63.2,HH: đỉnh 40 > 39 | HL: đáy 38 > 37 | Volume phiên tăng > giảm | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=63.2 | pipeline_quality=MEDIUM | setup_score=83 | pipeline_money=50
VCB,RETEST,2023-02-09,2023-02-10,53.14,50.0,58.0,2023-03-20,50.0,SL,-5.91,26,58.0,Retest vùng breakout 52 (cách +0.0%) | Volume cạn 0.64× TB20 | Giá vẫn giữ trên vùng breakout | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=58.0 | pipeline_quality=MEDIUM | setup_score=70 | pipeline_money=50
VCB,RETEST,2023-03-29,2023-03-30,51.89,50.0,55.0,2023-04-11,50.0,SL,-3.64,8,60.8,Retest vùng breakout 52 (cách -1.0%) | Volume cạn 0.47× TB20 | Giá vẫn giữ trên vùng breakout | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=60.8 | pipeline_quality=MEDIUM | setup_score=77 | pipeline_money=50
VCB,KUMO_TWIST_ENTRY,2023-05-08,2023-05-09,52.3,51.0,54.0,2023-07-24,59.0,REVERSAL_DOUBLE_TOP,12.45,54,71.7,Future Kumo bullish twist | Close reclaimed Tenkan/Kijun (51/51) | Price not below current Kumo | Chikou confirms momentum | Future cloud green | Volume confirm 3.0x MA20 | money_flow=BREAKOUT_FLOW | mf_score=6 | pipeline_conf=71.7 | pipeline_quality=STRONG | setup_score=73 | pipeline_money=100
VCB,BREAKOUT_RETEST_ENTRY,2023-07-28,2023-07-31,61.76,60.0,64.0,2023-08-04,60.0,SL,-2.85,4,55.6,Breakout 4 bars trước tại level 60 | Retest thành công (cách +3.1%) | Nến đóng xanh — support giữ vững | money_flow=NEUTRAL | mf_score=0 | pipeline_conf=55.6 | pipeline_quality=MEDIUM | setup_score=64 | pipeline_money=50
